algorithm,column,f_total,f_ref,gap,sparsity,time
A2-mu=1e-3,14,18.95237821390808,18.952376995066675,1.218841404693194e-06,0.0,0.1211848258972168
A2-mu=1e-3,15,17.219140235354004,17.21913866596245,1.5693915536019176e-06,0.0,0.12110686302185059
A2-mu=1e-3,16,18.21808458681504,18.218083346149037,1.2406660019337323e-06,0.0,0.12112593650817871
A2-mu=1e-3,17,19.222066161193084,19.22206433723902,1.8239540651165953e-06,0.0,0.12095808982849121
A2-mu=1e-3,18,17.287174989684168,17.287173672727203,1.3169569648141533e-06,0.0,0.12110686302185059
A2-mu=1e-3,19,17.828631308971875,17.828629786478647,1.5224932283786075e-06,0.0,0.12058401107788086
A2-mu=1e-3,20,18.300252373377923,18.300250999418036,1.3739598863082847e-06,0.0,0.12119007110595703
A2-mu=1e-3,21,17.78932709665366,17.789326167675526,9.289781353061244e-07,0.0,0.12143111228942871
A2-mu=1e-3,22,19.43152867759708,19.431526897523515,1.7800735641060328e-06,0.0,0.1211249828338623
A2-mu=1e-3,23,18.659647387040675,18.659646185434703,1.2016059720565408e-06,0.0,0.12112617492675781
A2-mu=1e-3,24,19.096724403028333,19.096721708413234,2.694615098164377e-06,0.0,0.12108802795410156
A2-mu=1e-3,25,18.49003595944723,18.49003462060811,1.338839119569002e-06,0.0,0.12118911743164062
A2-mu=1e-3,26,18.60430985014677,18.604306960917885,2.889228884583872e-06,0.0,0.12102818489074707
A2-mu=1e-3,27,19.901712160726994,19.901710917036024,1.243690970653688e-06,0.0,0.12115621566772461
A2-mu=1e-3,28,18.210286415186765,18.2102843249388,2.0902479640483307e-06,0.0,0.12098503112792969
A2-mu=1e-3,29,17.55953191713981,17.5595299475718,1.9695680109066416e-06,0.0,0.12111687660217285
A2-mu=1e-3,30,18.718816962335705,18.71881434269165,2.6196440536807586e-06,0.0,0.12107181549072266
A2-mu=1e-3,31,17.523208602220922,17.5232073245982,1.2776227222843772e-06,0.0,0.12117385864257812
A2-mu=1e-3,32,19.12743444625447,19.12743089883932,3.547415147409083e-06,0.0,0.12114214897155762
A2-mu=1e-3,33,17.09040727815709,17.09040579622989,1.4819271996202588e-06,0.0,0.1209268569946289
A2-mu=1e-3,34,17.68360260261496,17.683600982576355,1.6200386063758287e-06,0.0,0.1211690902709961
A2-mu=1e-3,35,18.0725572734144,18.072555997113856,1.2763005443616748e-06,0.0,0.12109494209289551
A2-mu=1e-3,36,17.81953869267364,17.819535929196753,2.7634768855477887e-06,0.0,0.12121224403381348
A2-mu=1e-3,37,18.01992846095919,18.019926814918215,1.6460409746343885e-06,0.0,0.12110304832458496
A2-mu=1e-3,38,18.454853079324135,18.4548507315106,2.347813534697707e-06,0.0,0.12107205390930176
A2-mu=1e-3,39,18.909120213973555,18.909117352733706,2.861239849494268e-06,0.0,0.1211540699005127
A2-mu=1e-3,40,19.37745481641717,19.37745274315677,2.073260400692334e-06,0.0,0.1206200122833252
A2-mu=1e-3,41,18.691478743212084,18.691476138350758,2.6048613257501074e-06,0.0,0.12120175361633301
A2-mu=1e-3,42,18.533725037754945,18.53372307969972,1.958055225514954e-06,0.0,0.12108421325683594
A2-mu=1e-3,43,17.91948323286412,17.9194797345055,3.4983586196801753e-06,0.0,0.12103796005249023
A2-mu=1e-3,44,19.478661978485473,19.47866019558779,1.7828976837108712e-06,0.0,0.1206209659576416
A2-mu=1e-3,45,18.8381627302959,18.83816139021186,1.3400840401800451e-06,0.0,0.12113499641418457
A2-mu=1e-3,46,19.015633664460328,19.015631645333922,2.019126405627958e-06,0.0,0.12105989456176758
A2-mu=1e-3,47,18.34333932801317,18.34333701170385,2.316309320349319e-06,0.0,0.1211090087890625
A2-mu=1e-3,48,18.64460036038028,18.644598466999238,1.8933810430610265e-06,0.0,0.1210331916809082
A2-mu=1e-3,49,19.22543355022521,19.225431833385578,1.7168396304612088e-06,0.0,0.12127017974853516
